source,target,interaction,scaffold,species,HH_type,genus,distance
ESO1233809120S1K,stools_11055101,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,307957.26754716
ESO1233809120S1K,stools_12098150,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,303137.296562458
ESO1238105120S1K,EST1238105101S1K,strain_sharing,NZ_CP040878.1,Entc_faecium,Within,Entc,0
ESO1238105120S1K,EST2359005102S1K,strain_sharing,NZ_CP040878.1,Entc_faecium,Between,Entc,23510.4639204276
ESO1238105120S1K,stools_12086501,strain_sharing,NZ_CP040878.1,Entc_faecium,Between,Entc,295609.317046982
ESO1241104120S1K,EST1241104101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Within,Entc,0
ESO1241104120S1K,EST1356602101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,37794.206956173
ESO1241104120S1K,stools_11055101,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,317228.41998346
ESO1241104120S1K,stools_12098150,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,312216.0822915
ESO1242101120S1K,EST2359005102S1K,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,54187.7812874005
ESO1247101120S1K,EST1212206101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,23397.9037972856
ESO1247101120S1K,EST1212705101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,24345.3974243984
ESO1247101120S1K,EST1234709101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,10467.0689729067
ESO1247101120S1K,EST1237103201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,6338.90373842149
ESO1247101120S1K,EST1241108101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,34179.2222924415
ESO1247101120S1K,EST1242209101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,33365.7956721594
ESO1247101120S1K,EST1350511101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,4484.52248697869
ESO1247101120S1K,EST1356601101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,4697.98520138724
ESO1247101120S1K,EST1356611101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,4092.00879312487
ESO1247101120S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,2262.35172111904
ESO1247101120S1K,EST1358301201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,2263.18258156095
ESO1247101120S1K,stools_11021150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,295604.620366214
ESO1247101120S1K,stools_11024150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,295590.549205235
ESO1247109120S1K,EST1237103201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,6333.06481265146
ESO1247109120S1K,EST1241108101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,34251.8972420824
ESO1247210120S1K,EST1213404101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,29751.7229754687
ESO1247210120S1K,EST1242805101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,38665.925360544
ESO1247210120S1K,stools_11110101,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,303060.577410009
ESO1350507120S1K,ESO1350511120S1K,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,754.232936713644
ESO1350507120S1K,EST1247109101S1K,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,4329.00146360509
ESO1350507120S1K,stools_11009150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,298986.956104238
ESO1350507120S1K,stools_11015101,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,298992.809466799
ESO1350507120S1K,stools_11015501,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,298992.809466799
ESO1350507120S1K,stools_11016150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,298950.427520994
ESO1350511120S1K,EST1247109101S1K,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,4085.02934606767
ESO1350511120S1K,stools_11009150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,299273.767870131
ESO1350511120S1K,stools_11015101,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,299279.578643892
ESO1350511120S1K,stools_11015501,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,299279.578643892
ESO1350511120S1K,stools_11016150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,299237.024963636
EST1212204101S1K,EST1356604101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,27711.4458966681
EST1212206101S1K,EST1212206201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,67.5211133979719
EST1212206101S1K,EST1232702101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,11404.5941667141
EST1212206101S1K,EST1237103201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,17348.1772004287
EST1212206101S1K,EST1238004201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,21318.3910265123
EST1212206101S1K,EST1242101101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,9906.58029200929
