ESO1233807120S1K	0	Bact_fragilis_86-5443-2-2.fa.gz	52167	52123	178416	0.808	32.359	25.500	0.331	0.808	0.947	0.847	1.361	0.166	0.175
ESO1233807120S1K	1	Bact_ovatus_V975.fa.gz	63623	63311	136276	0.800	15.698	12.358	0.289	0.800	0.974	0.478	0.793	0.144	0.148
ESO1233807120S1K	2	Bact_uniformis_CL03T12C37.fa.gz	47712	47388	85653	0.630	31.673	19.727	0.483	0.630	0.976	2.784	0.944	0.118	0.121
ESO1233822120S1K	0	Bact_fragilis_GUT04.fa.gz	52693	52553	284845	0.814	174.731	141.137	0.245	0.814	1.001	3.686	5.853	0.132	0.132
ESO1233822120S1K	1	Bact_uniformis_CL03T12C37.fa.gz	47712	47500	242076	0.659	289.626	187.813	0.393	0.659	0.960	16.090	7.102	0.108	0.112
ESO1233822120S1K	2	Bact_ovatus_BFG-107.fa.gz	65808	64502	210770	0.695	87.566	59.211	0.280	0.695	0.834	1.552	3.073	0.078	0.094
ESO1233822120S1K	3	Bact_thetaiotaomicron_CL15T12C11.fa.gz	67497	61739	165960	0.691	50.792	34.836	0.215	0.691	0.998	0.778	1.698	0.071	0.071
ESO1233822120S1K	4	Bact_xylanisolvens_H207.fa.gz	62843	38921	123278	0.601	49.038	28.463	0.145	0.601	0.976	1.363	0.898	0.031	0.031
ESO1233822120S1K	5	Bact_caccae_BFG-100.fa.gz	49508	45421	99889	0.752	13.663	10.169	0.069	0.752	0.932	0.462	0.365	0.027	0.029
ESO1234708120S1K	0	Bact_uniformis_CL06T06C18.fa.gz	47840	47526	279567	0.825	59.112	48.099	0.456	0.825	0.846	4.250	2.837	0.216	0.256
ESO1234708120S1K	1	Bact_caccae_ATCC_43185.fa.gz	45196	44954	240376	0.836	23.808	19.771	0.324	0.836	0.987	0.518	1.096	0.187	0.189
ESO1234708120S1K	2	Bact_xylanisolvens_CL11T00C03.fa.gz	61640	57873	202780	0.747	6.383	4.581	0.148	0.755	0.934	0.646	0.338	0.059	0.063
ESO1234708120S1K	3	Bact_uniformis_NBRC_113350.fa.gz	46678	13521	159543	0.538	38.836	20.505	0.177	0.538	0.853	0.807	0.346	0.024	0.028
ESO1234709120S1K	0	Bact_thetaiotaomicron_VPI_5482.fa.gz	61819	61721	143153	0.791	3.978	3.104	0.343	0.828	0.960	0.093	0.274	0.179	0.186
ESO1234709120S1K	1	Bact_uniformis_CL03T12C37.fa.gz	47712	47054	94353	0.608	5.143	3.101	0.397	0.637	0.985	0.583	0.208	0.096	0.098
ESO1234709120S1K	2	Bact_zhangwenhongii_HF-5287.fa.gz	51176	49829	65738	0.354	2.762	0.955	0.217	0.575	0.947	0.122	0.069	0.024	0.025
